class	property	type	description
DatedMoneySpecification	startDate	DateTime	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
DatedMoneySpecification	startDate	Date	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeries	startDate	DateTime	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeries	startDate	Date	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeason	startDate	DateTime	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
CreativeWorkSeason	startDate	Date	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).
LodgingBusiness	starRating	Rating	An official rating for a lodging business or food establishment, e.g. from national associations or standards bodies. Use the author property to indicate the rating organization, e.g. as an Organization with name such as (e.g. HOTREC, DEHOGA, WHR, or Hotelstars).
FoodEstablishment	starRating	Rating	An official rating for a lodging business or food establishment, e.g. from national associations or standards bodies. Use the author property to indicate the rating organization, e.g. as an Organization with name such as (e.g. HOTREC, DEHOGA, WHR, or Hotelstars).
Person	spouse	Person	The person's spouse.
ExerciseAction	sportsTeam	SportsTeam	A sub property of participant. The sports team that participated on this action.
ExerciseAction	sportsEvent	SportsEvent	A sub property of location. The sports event where this action occurred.
ExerciseAction	sportsActivityLocation	SportsActivityLocation	A sub property of location. The sports activity location where this action occurred.
SportsOrganization	sport	URL	A type of sport (e.g. Baseball).
SportsOrganization	sport	Text	A type of sport (e.g. Baseball).
Person	sponsor	Person	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
Person	sponsor	Organization	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
Organization	sponsor	Person	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
Organization	sponsor	Organization	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
Event	sponsor	Person	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
Event	sponsor	Organization	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
CreativeWork	sponsor	Person	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
CreativeWork	sponsor	Organization	A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.
WebPage	specialty	Specialty	One of the domain specialities to which this web page's content applies.
Place	specialOpeningHoursSpecification	OpeningHoursSpecification	"The special opening hours of a certain place.\n\nUse this to explicitly override general opening hours brought in scope by [[openingHoursSpecification]] or [[openingHours]].
"
JobPosting	specialCommitments	Text	Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.
CreativeWork	spatialCoverage	Place	"The spatialCoverage of a CreativeWork indicates the place(s) which are the focus of the content. It is a subproperty of
      contentLocation intended primarily for more technical and detailed materials. For example with a Dataset, it indicates
      areas that the dataset describes: a dataset of New York weather would have spatialCoverage which was the place: the state of New York."
Dataset	spatial	Place	The range of spatial applicability of a dataset, e.g. for a dataset of New York weather, the state of New York.
CreativeWork	sourceOrganization	Organization	The Organization on whose behalf the creator was working.
SoftwareApplication	softwareVersion	Text	Version of the software instance.
SoftwareApplication	softwareRequirements	URL	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime).
SoftwareApplication	softwareRequirements	Text	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime).
SoftwareApplication	softwareHelp	CreativeWork	Software application help.
SoftwareApplication	softwareAddOn	SoftwareApplication	Additional content for a software application.
NutritionInformation	sodiumContent	Mass	The number of milligrams of sodium.
Place	smokingAllowed	Boolean	Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.
Product	sku	Text	The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
Offer	sku	Text	The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
Demand	sku	Text	The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
JobPosting	skills	Text	Skills required to fulfill this role.
WebPage	significantLinks	URL	The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.
WebPage	significantLink	URL	One of the more significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.
Person	siblings	Person	A sibling of the person.
Person	sibling	Person	A sibling of the person.
SocialMediaPosting	sharedContent	CreativeWork	A CreativeWork such as an image, video, or audio clip shared as part of this posting.
NutritionInformation	servingSize	Text	The serving size, in terms of the number of volume or mass.
ServiceChannel	serviceUrl	URL	The website to access the service.
Service	serviceType	Text	The type of service being offered, e.g. veterans' benefits, emergency relief, etc.
ServiceChannel	serviceSmsNumber	ContactPoint	The number to access the service by text message.
ServiceChannel	servicePostalAddress	PostalAddress	The address for accessing the service by mail.
ServiceChannel	servicePhone	ContactPoint	The phone number to use to access the service.
Service	serviceOutput	Thing	The tangible thing generated by the service, e.g. a passport, permit, etc.
GovernmentService	serviceOperator	Organization	The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor.
ServiceChannel	serviceLocation	Place	The location (e.g. civic structure, local business, etc.) where a person can go to access the service.
Service	serviceAudience	Audience	The audience eligible for this service.
Service	serviceArea	Place	The geographic area where the service is provided.
Service	serviceArea	GeoShape	The geographic area where the service is provided.
Service	serviceArea	AdministrativeArea	The geographic area where the service is provided.
Organization	serviceArea	Place	The geographic area where the service is provided.
